Name,Review Date,Airline,Verified,Type of Traveller,Month Flown,Route,Class,Seat Comfort,Staff Service,Food & Beverages,Inflight Entertainment,Value For Money,Overall Rating,Recommended
Sean Wise,1/16/2024,Singapore Airlines,TRUE,Family Leisure,24-Jan,Singapore to Adelaide,Economy Class,1,5,2,3,1,1,no
Paul Bailey,1/12/2024,Singapore Airlines,TRUE,Solo Leisure,24-Jan,Singapore to Manchester,Business Class,3,5,5,4,5,9,yes
David Mireylees,1/8/2024,Singapore Airlines,TRUE,Couple Leisure,24-Jan,Singapore to Sydney,Business Class,5,5,5,5,5,10,yes
Ken Duffin,1/7/2024,Singapore Airlines,FALSE,Solo Leisure,24-Jan,Bangkok to Auckland via Singapore,Business Class,4,4,5,4,4,8,yes
Sudipta Bandyopadhyay,12/31/2023,Singapore Airlines,TRUE,Family Leisure,23-Dec,Singapore to Perth,Economy Class,3,4,3,3,1,1,no
Pierre Visseur,12/27/2023,Singapore Airlines,FALSE,Business,23-Dec,Phuket to Singapore,Business Class,4,4,4,4,2,2,no
Fook Yong Meng,12/22/2023,Singapore Airlines,TRUE,Family Leisure,23-Dec,Kuala Lumpur to Hong Kong via Singapore,Economy Class,3,5,1,1,1,1,no
M Wong,12/18/2023,Singapore Airlines,FALSE,Family Leisure,23-Dec,Penang to Singapore,Economy Class,5,5,3,4,1,2,no
S Fardini,12/17/2023,Singapore Airlines,TRUE,Solo Leisure,23-Nov,Frankfurt to Jakarta via Singapore,Premium Economy,3,4,1,3,3,7,yes
Vanessa Wergin,12/17/2023,Singapore Airlines,TRUE,Business,23-Dec,Brisbane to Frankfurt via Singapore,Economy Class,4,5,4,4,1,1,no
Ming Teoh,12/11/2023,Singapore Airlines,FALSE,Solo Leisure,23-Dec,Singapore to Penang,Economy Class,4,3,5,3,1,1,no
R Malinski,12/9/2023,Singapore Airlines,TRUE,Family Leisure,23-Sep,Melbourne to Zagreb via Singapore / Frankfurt,Premium Economy,3,1,3,4,3,8,yes
Y Eames,11/28/2023,Singapore Airlines,FALSE,Couple Leisure,23-Nov,Singapore to Auckland,Business Class,1,3,3,2,5,10,yes
E Keale,11/24/2023,Singapore Airlines,TRUE,Couple Leisure,23-Sep,London to Singapore,Economy Class,3,5,1,4,2,1,no
Barbara Fast,11/21/2023,Singapore Airlines,FALSE,Solo Leisure,23-Nov,"Siam Reap, Cambodia to Bali via Singapore",Economy Class,1,4,4,4,1,1,no
Craig Cutts,11/20/2023,Singapore Airlines,TRUE,Solo Leisure,23-Oct,London Heathrow to Denpasar via Singapore,Premium Economy,4,5,4,2,3,6,yes
Vibor Cilic,11/18/2023,Singapore Airlines,TRUE,Family Leisure,23-Nov,New York to Frankfurt,Economy Class,4,4,3,3,1,1,no
J Morton,11/18/2023,Singapore Airlines,TRUE,Couple Leisure,23-Nov,Singapore to Bangkok,Business Class,4,1,3,5,4,9,yes
J Morton,11/18/2023,Singapore Airlines,TRUE,Couple Leisure,23-Nov,Auckland to Singapore,Business Class,1,5,5,4,4,9,yes
Y Tan,11/17/2023,Singapore Airlines,TRUE,Couple Leisure,23-Oct,Johannesburg to Singapore,Business Class,5,3,1,3,2,4,no
David Torrible,11/15/2023,Singapore Airlines,FALSE,Business,23-Nov,Sydney to Singapore,Business Class,4,3,3,5,3,4,no
S Partin,11/6/2023,Singapore Airlines,TRUE,Solo Leisure,23-Oct,Manila to Singapore,Economy Class,2,1,4,5,5,10,yes
Gilroy Dias,11/4/2023,Singapore Airlines,TRUE,Family Leisure,23-Oct,Mumbai to Melbourne via Singapore,Economy Class,1,3,5,5,4,1,no
P Heyes,11/3/2023,Singapore Airlines,TRUE,Solo Leisure,23-Nov,Athens to Penang via Rome,Economy Class,3,5,5,1,1,1,no
S Han,11/1/2023,Singapore Airlines,TRUE,Couple Leisure,23-May,Singapore to Penang,Economy Class,2,5,1,4,1,1,no
E Gan,10/27/2023,Singapore Airlines,TRUE,Family Leisure,23-Aug,Guangzhou to Los Angeles via Singapore,Economy Class,5,5,4,5,1,1,no
Anson Anto,10/26/2023,Singapore Airlines,TRUE,Family Leisure,23-Oct,Kochi to Sydney via Singapore,Business Class,5,5,5,5,4,7,yes
Richie Rizal,10/24/2023,Singapore Airlines,TRUE,Solo Leisure,23-Sep,Dubai to Jakarta via Singapore,Economy Class,1,5,5,4,5,10,yes
L Tran,10/24/2023,Singapore Airlines,TRUE,Solo Leisure,23-Aug,Frankfurt to New York JFK,Business Class,2,5,2,3,5,9,yes
Anas Huseinato,10/22/2023,Singapore Airlines,TRUE,Solo Leisure,23-Oct,Singapore to Phnom Penh,Economy Class,4,5,2,5,1,1,no
P Hale,10/19/2023,Singapore Airlines,TRUE,Business,23-Oct,Singapore to Sydney,Business Class,4,5,5,4,3,3,no
Keng Teik Koay,10/8/2023,Singapore Airlines,TRUE,Business,23-Aug,San Francisco to Singapore,Business Class,5,2,3,5,1,1,no
D Parseringhe,9/30/2023,Singapore Airlines,TRUE,Solo Leisure,23-Sep,Singapore to Auckland,Economy Class,4,3,4,5,4,9,yes
Jacek Duniec,9/28/2023,Singapore Airlines,TRUE,Couple Leisure,23-Sep,Adelaide to Singapore,Business Class,1,5,5,2,5,10,yes
Patricia Helen Fonseca,9/28/2023,Singapore Airlines,TRUE,Couple Leisure,23-Sep,Mumbai to Singapore,Economy Class,5,2,5,5,5,10,yes
T Meares,9/23/2023,Singapore Airlines,TRUE,Couple Leisure,23-Sep,Bangkok to Auckland via Singapore,Premium Economy,3,5,5,5,2,5,no
Susanne Boehling,9/19/2023,Singapore Airlines,FALSE,Couple Leisure,23-Aug,Melbourne to Dubai  via Singapore,Economy Class,5,5,5,1,1,1,no
Angelique Geel,9/18/2023,Singapore Airlines,FALSE,Couple Leisure,23-Sep,Cape Town to Phuket via Singapore,Economy Class,4,5,1,5,5,10,yes
Craig Cutts,9/18/2023,Singapore Airlines,FALSE,Solo Leisure,23-Sep,London to Bangkok via Singapore,Economy Class,4,5,5,4,3,6,yes
Jeff Paccione,9/17/2023,Singapore Airlines,TRUE,Family Leisure,23-Sep,New York to Frankfurt,Business Class,5,5,5,3,5,10,yes
Michael Little,9/17/2023,Singapore Airlines,TRUE,Couple Leisure,23-Sep,Penang to Melbourne via Singapore,Business Class,5,3,1,5,5,8,yes
Michael Little,9/17/2023,Singapore Airlines,TRUE,Couple Leisure,23-Jun,Melbourne to Fukuoka via Singapore,Business Class,1,5,5,4,5,8,yes
Chris Collins,9/16/2023,Singapore Airlines,TRUE,Couple Leisure,23-Sep,Singapoe to Christchurch,Business Class,4,5,5,4,3,10,yes
Jurgen Henkel,9/15/2023,Singapore Airlines,FALSE,Family Leisure,23-Sep,Perth to Phuket via Singapore,Economy Class,5,4,2,5,5,10,yes
Ricky Sharp,9/15/2023,Singapore Airlines,TRUE,Business,23-Apr,Brisbane to Singapore,Business Class,1,5,5,5,5,10,yes
J Hoek,9/14/2023,Singapore Airlines,FALSE,Business,23-Sep,Singapore to Paris,Premium Economy,5,1,4,1,1,2,no
T Gordon,9/12/2023,Singapore Airlines,TRUE,Solo Leisure,23-Sep,Singapore to Melbourne,Economy Class,3,5,4,4,5,10,yes
C Tarleno,9/8/2023,Singapore Airlines,TRUE,Solo Leisure,23-Sep,Newark to Singapore,Premium Economy,4,2,5,4,5,10,yes
Lukas Fajt,8/29/2023,Singapore Airlines,FALSE,Family Leisure,22-Sep,Frankfurt to New York,Economy Class,5,5,1,5,5,10,yes
M Stock,8/29/2023,Singapore Airlines,FALSE,Couple Leisure,23-Aug,Frankfurt to Sydney via Singapore,Economy Class,5,4,4,4,1,1,no
Anthony Sticha,8/23/2023,Singapore Airlines,TRUE,Solo Leisure,23-Jul,Hong Kong to Cairns via Singapore,Economy Class,4,5,4,4,4,7,no
Rajendra Agarwal,8/21/2023,Singapore Airlines,FALSE,Family Leisure,23-Aug,Vancouver to Delhi via Singapore,Premium Economy,5,5,4,4,3,5,no
Gayle Peacock,8/21/2023,Singapore Airlines,TRUE,Couple Leisure,23-Jul,Adelaide to Zurich via Singaphore,Business Class,5,1,5,3,5,9,yes
M Schueller,8/13/2023,Singapore Airlines,TRUE,Business,23-Aug,Phuket to Dubai via Singapore,Economy Class,1,5,4,2,4,10,yes
T Marciano,8/9/2023,Singapore Airlines,FALSE,Solo Leisure,23-Aug,Manila to Sinhapore,Economy Class,5,4,4,5,5,10,yes
Erich Say,8/9/2023,Singapore Airlines,FALSE,Family Leisure,23-Jul,Phnom Penh to Singapore,Economy Class,4,4,4,4,4,6,yes
Slawomir Boleslawski,8/3/2023,Singapore Airlines,FALSE,Family Leisure,23-Jul,Frankfurt to Singapore,Economy Class,4,5,1,4,5,10,yes
Rick Porter,7/22/2023,Singapore Airlines,FALSE,Couple Leisure,23-Jul,Sydney to Singapore,Business Class,4,5,3,3,5,9,yes
Jarret Velasco,7/19/2023,Singapore Airlines,TRUE,Couple Leisure,23-Jan,Davao to New York via Singapore,Economy Class,5,5,4,5,1,1,no
L Tran,7/17/2023,Singapore Airlines,FALSE,Family Leisure,23-Apr,Singapore to New York,Business Class,5,5,3,5,5,9,yes
Jerome Hoog,7/16/2023,Singapore Airlines,TRUE,Solo Leisure,23-May,New York to Frankfurt,Premium Economy,5,5,4,5,5,6,yes
J Hannesung,7/9/2023,Singapore Airlines,TRUE,Family Leisure,23-Jul,Denpasar to Kansai via Singapore,Economy Class,3,3,3,2,4,2,no
Theresa Lombard,7/4/2023,Singapore Airlines,TRUE,Solo Leisure,23-Jul,Auckland to Singapore,Economy Class,2,4,3,4,4,10,yes
L Tran,6/28/2023,Singapore Airlines,TRUE,Family Leisure,23-Apr,Hanoi to Singapore,Business Class,1,5,4,4,4,8,yes
L Tran,6/27/2023,Singapore Airlines,TRUE,Family Leisure,23-Apr,Singapore to Ho Chi Minh,Business Class,4,5,5,2,5,9,yes
L Tran,6/27/2023,Singapore Airlines,FALSE,Family Leisure,23-Apr,New York to Singapore,Business Class,1,5,5,4,5,7,yes
C Motts,6/23/2023,Singapore Airlines,TRUE,Solo Leisure,23-May,Brisbane to London via Singapore,Economy Class,5,4,1,4,2,2,no
Olga Pavlenko,6/20/2023,Singapore Airlines,TRUE,Couple Leisure,23-Jun,Singapore to Milan,Business Class,3,5,2,2,3,6,no
Rob Clark,6/16/2023,Singapore Airlines,FALSE,Couple Leisure,23-Jun,Manchester to Singapore,Business Class,3,5,4,2,3,5,no
B H Soh,6/16/2023,Singapore Airlines,FALSE,Solo Leisure,23-May,London Heathrow to Singapore,Economy Class,3,5,1,4,3,7,yes
G Smith,6/12/2023,Singapore Airlines,TRUE,Couple Leisure,23-Feb,London to Auckland via Singapore,Business Class,5,3,1,5,3,6,no
Bobby S H Tan,6/9/2023,Singapore Airlines,FALSE,Family Leisure,23-Jun,Singapore to Los Angeles via Narita,Premium Economy,1,3,4,5,5,9,yes
Clara Chua,6/7/2023,Singapore Airlines,TRUE,Solo Leisure,23-Apr,Singapore to Bangkok,Economy Class,3,1,1,5,2,2,no
E Lander,6/1/2023,Singapore Airlines,TRUE,Business,23-May,Singapore to Sydney,First Class,4,1,2,5,4,6,yes
Deborah Bolt,5/30/2023,Singapore Airlines,TRUE,Solo Leisure,23-May,Auckland to Singapore,Business Class,1,5,2,1,4,9,yes
Deborah Bolt,5/30/2023,Singapore Airlines,TRUE,Solo Leisure,23-May,Singapore to London,First Class,3,3,2,3,4,7,yes
Deborah Bolt,5/30/2023,Singapore Airlines,TRUE,Solo Leisure,23-May,London to Singapore,First Class,3,2,5,4,5,10,yes
S Vayne,5/29/2023,Singapore Airlines,TRUE,Business,23-Apr,New York JFK to Frankfurt,Business Class,2,5,4,4,2,5,yes
N Hazim,5/28/2023,Singapore Airlines,TRUE,Business,23-May,Johannesburg to Bangkok via Singapore,Economy Class,3,2,5,5,2,1,no
Karen Morgan,5/26/2023,Singapore Airlines,TRUE,Couple Leisure,23-May,Manchester to Singapore,Premium Economy,2,5,1,4,1,1,no
Shantha Mathews,5/26/2023,Singapore Airlines,TRUE,Business,23-May,Los Angeles to Singapore,Business Class,4,5,2,5,1,2,no
M Foster,5/22/2023,Singapore Airlines,TRUE,Solo Leisure,23-Feb,Frankfurt to Singapore,Business Class,5,5,3,2,4,8,yes
R Ward,5/22/2023,Singapore Airlines,TRUE,Couple Leisure,23-May,Tokyo to London via Singapore,Economy Class,4,5,3,3,2,5,no
Simi Soman,5/22/2023,Singapore Airlines,TRUE,Family Leisure,23-May,Kochi to Singapore,Economy Class,5,4,4,5,3,4,no
T Peale,5/20/2023,Singapore Airlines,TRUE,Couple Leisure,23-May,London to Singapore,Business Class,3,5,4,5,2,4,no
C Huang,5/14/2023,Singapore Airlines,TRUE,Solo Leisure,23-Apr,Brisbane to Singapore,Economy Class,2,5,4,4,3,4,no
Ronny Adriansyah,5/12/2023,Singapore Airlines,TRUE,Couple Leisure,23-May,Singapore to Los Angeles,Economy Class,3,5,4,4,5,10,yes
Ronny Adriansyah,5/12/2023,Singapore Airlines,TRUE,Couple Leisure,23-May,Denpasar to Singapore,Economy Class,5,4,2,5,5,10,yes
JJ Lim,5/11/2023,Singapore Airlines,TRUE,Couple Leisure,23-May,Istanbul to Singapore,Business Class,4,5,5,3,5,10,yes
 Eric Huang,5/6/2023,Singapore Airlines,TRUE,Solo Leisure,23-Apr,Singapore to Denpasar Bali,Economy Class,4,5,2,5,1,2,no
C Bing,5/4/2023,Singapore Airlines,TRUE,Solo Leisure,23-Apr,Frankfurt to New York,Business Class,5,3,3,5,1,4,no
S T Sylvia,5/2/2023,Singapore Airlines,TRUE,Couple Leisure,23-Apr,Singapore to Seattle,Economy Class,4,3,5,5,4,8,yes
Craig Cutts,4/28/2023,Singapore Airlines,TRUE,Solo Leisure,23-Apr,Denpasar to Bangkok via Singapore,Economy Class,2,5,5,5,4,10,yes
K Lee,4/28/2023,Singapore Airlines,FALSE,Business,23-Mar,San Francisco to Hong Kong via Singapore,Economy Class,3,3,2,3,3,3,no
John Roder,4/23/2023,Singapore Airlines,TRUE,Couple Leisure,23-Mar,Brisbane to Johannesburg via Singapore,Business Class,5,5,5,4,4,9,yes
Craig Cutts,4/21/2023,Singapore Airlines,TRUE,Solo Leisure,23-Apr,Cape Town to Denpasar via Singapore,Business Class,3,5,1,5,4,9,yes
Cesare Recalcati ,4/19/2023,Singapore Airlines,TRUE,Couple Leisure,23-Apr,Milan to Singapore,Premium Economy,5,3,5,4,5,8,yes
G Mardelas,4/19/2023,Singapore Airlines,TRUE,Family Leisure,23-Apr,Frankfurt to Kuala Lumpur via Singapore,Economy Class,5,5,5,5,2,4,no
D Laniyanto,4/17/2023,Singapore Airlines,TRUE,Business,23-Apr,Surabaya to Haneda via Singapore,Economy Class,3,5,1,3,1,1,no
Michael Schade,4/13/2023,Singapore Airlines,TRUE,Solo Leisure,23-Apr,Paris to Bangkok via Singapore,Business Class,5,5,4,3,5,7,yes
Sylvia Lee,4/9/2023,Singapore Airlines,TRUE,Couple Leisure,23-Mar,Singapore to Auckland,Economy Class,5,5,2,5,3,6,yes
N Hang,4/4/2023,Singapore Airlines,FALSE,Couple Leisure,23-Apr,Singapore to Frankfurt,Economy Class,5,5,3,4,5,10,yes
Roberto Giusto,4/1/2023,Singapore Airlines,FALSE,Couple Leisure,23-Mar,Milan to Manila via Singapore,Economy Class,4,4,2,4,3,5,no
Nivasini Selva Kumar,3/30/2023,Singapore Airlines,TRUE,Family Leisure,23-Mar,Perth to Singapore,Economy Class,4,5,5,5,1,2,no
Michael Schade,3/27/2023,Singapore Airlines,TRUE,Business,23-Mar,Singapore to Paris,Business Class,5,5,3,4,4,10,yes
Michael Schade,3/27/2023,Singapore Airlines,FALSE,Business,23-Mar,Bangkok to Singapore,Economy Class,4,3,3,4,1,1,no
Frank DSilva,3/19/2023,Singapore Airlines,TRUE,Couple Leisure,23-Mar,Bangalore to Brisbane via Singapore,Economy Class,4,5,5,4,5,10,yes
C Nilson,3/7/2023,Singapore Airlines,TRUE,Couple Leisure,23-Mar,Sydney to Copenhagen via Singapore,Premium Economy,1,4,4,5,4,10,yes
C Wang,3/7/2023,Singapore Airlines,TRUE,Business,23-Feb,Frankfurt to Singapore,Economy Class,5,5,4,1,3,5,no
K Piddick,3/5/2023,Singapore Airlines,TRUE,Couple Leisure,23-Jan,Sydney to Bangkok via Singapore,Economy Class,1,5,2,3,5,9,yes
Paul Bailey,2/27/2023,Singapore Airlines,FALSE,Solo Leisure,23-Feb,Manchester to Bangkok via Singapore,Premium Economy,4,4,5,5,4,9,yes
Matthew Osborn,2/25/2023,Singapore Airlines,TRUE,Couple Leisure,23-Jan,London to Manila via Singapore,Economy Class,5,5,2,4,4,7,yes
Yannick Schmutz,2/24/2023,Singapore Airlines,TRUE,Family Leisure,23-Jan,Singapore to London,Economy Class,5,5,1,1,1,2,no
Kamil Bednár,2/22/2023,Singapore Airlines,TRUE,Couple Leisure,23-Jan,Auckland to Singapore,Business Class,1,5,5,5,5,10,yes
J Carlsen,2/16/2023,Singapore Airlines,FALSE,Couple Leisure,23-Feb,Amsterdam to Brisbane via Singapore,Business Class,4,3,5,4,1,2,no
Jack Hewitt,2/13/2023,Singapore Airlines,TRUE,Family Leisure,22-Dec,Manchester to Houston,Economy Class,5,3,1,1,3,7,yes
Peter Pomeranze,2/2/2023,Singapore Airlines,TRUE,Solo Leisure,23-Feb,Singapore to San Francisco,Business Class,5,5,1,5,5,10,yes
Peter Pomeranze,2/1/2023,Singapore Airlines,TRUE,Business,23-Feb,Bangkok to Singapore,Business Class,4,5,2,5,5,9,yes
R Dursan,1/24/2023,Singapore Airlines,TRUE,Family Leisure,23-Jan,Frankfurt to Singapore,Economy Class,3,5,2,5,1,1,no
S Horden,1/20/2023,Singapore Airlines,FALSE,Couple Leisure,22-Dec,Singapore to London,Premium Economy,2,5,3,5,5,9,yes
Rahul Agasthya,1/20/2023,Singapore Airlines,TRUE,Solo Leisure,23-Jan,Bengaluru to Seattle via Singapore,Economy Class,5,2,1,3,5,10,yes
Satinder Panesar,1/19/2023,Singapore Airlines,TRUE,Solo Leisure,22-Dec,Mumbai to New York via Singapore,Business Class,4,2,3,3,5,10,yes
T King,1/19/2023,Singapore Airlines,TRUE,Solo Leisure,23-Jan,Singapore to Toronto via Incheon,Economy Class,3,3,4,5,1,1,no
B Leeson,1/18/2023,Singapore Airlines,TRUE,Couple Leisure,23-Jan,Ho Chi Minh to Singapore,Business Class,3,5,1,5,2,5,no
B Leeson,1/16/2023,Singapore Airlines,TRUE,Couple Leisure,23-Jan,Singapore to Melbourne,Business Class,2,1,5,3,3,7,no
E McCain,1/11/2023,Singapore Airlines,FALSE,Family Leisure,23-Jan,Singapore to New York,Business Class,3,3,5,3,4,10,yes
Ian Guy,1/7/2023,Singapore Airlines,FALSE,Couple Leisure,22-Feb,Auckland to Singapore,Economy Class,4,5,5,2,5,9,yes
Andrew Khan,1/5/2023,Singapore Airlines,TRUE,Family Leisure,23-Jan,Singapore to Auckland,Business Class,1,1,5,4,1,1,no
N Beale,12/28/2022,Singapore Airlines,TRUE,Couple Leisure,22-Dec,Singapore to Ho Chi Minh City,Business Class,1,5,2,4,2,5,no
D Van den Bayle,12/27/2022,Singapore Airlines,TRUE,Family Leisure,22-Nov,Denpasar to Amsterdam via Singapore,Economy Class,4,5,3,5,1,4,no
B Leeson,12/27/2022,Singapore Airlines,TRUE,Couple Leisure,22-Dec,Melbourne to Singapore,Business Class,3,5,3,1,3,7,yes
Ken Howie,12/18/2022,Singapore Airlines,FALSE,Couple Leisure,22-Dec,Brisbane to Singapore,Business Class,4,5,1,1,4,7,yes
Jeremie Rotier,12/17/2022,Singapore Airlines,TRUE,Solo Leisure,22-Dec,Kuala Lumpur to Paris via Singapore,Economy Class,4,2,5,5,1,1,no
L Trees,12/8/2022,Singapore Airlines,FALSE,Couple Leisure,22-Oct,Sydney to Singapore,Premium Economy,4,5,1,5,3,5,no
Ross Clark,12/1/2022,Singapore Airlines,TRUE,Solo Leisure,22-Nov,London Heathrow to Auckland via Singapore/Sydney,Economy Class,5,3,1,4,3,9,yes
G Carteno,11/28/2022,Singapore Airlines,TRUE,Solo Leisure,22-Nov,Danang to Singapore,Economy Class,1,3,4,3,3,5,no
D Gasall,11/24/2022,Singapore Airlines,TRUE,Couple Leisure,22-Nov,SIN to LHR,Economy Class,4,5,2,5,4,10,yes
D Gasall,11/24/2022,Singapore Airlines,TRUE,Couple Leisure,22-Nov,London to Singapore,Economy Class,3,1,2,5,4,10,yes
J McCarthy,11/24/2022,Singapore Airlines,TRUE,Couple Leisure,22-Oct,Sydney to Copenhagen via Singapore,Economy Class,3,1,5,1,5,9,yes
T Carleno,11/24/2022,Singapore Airlines,TRUE,Solo Leisure,22-Nov,New York to Singapore,Premium Economy,5,5,5,5,5,10,yes
Natalia Adamczyk,11/23/2022,Singapore Airlines,TRUE,Couple Leisure,22-Nov,Singapore to Manchester,Economy Class,1,3,1,1,2,5,no
Kenneth Howie,11/16/2022,Singapore Airlines,TRUE,Couple Leisure,22-Nov,Singapore to Brisbane,Business Class,1,2,2,1,4,8,yes
E Gan,11/15/2022,Singapore Airlines,TRUE,Solo Leisure,22-Jun,Frankfurt to Singapore,Economy Class,5,1,5,1,1,1,no
W Mott,11/14/2022,Singapore Airlines,TRUE,Couple Leisure,22-Nov,Melbourne to Cape Town via Singapore,Economy Class,3,5,5,4,3,6,yes
Hitesh Rohera,11/8/2022,Singapore Airlines,TRUE,Family Leisure,22-Nov,Sydney to Mumbai via Singapore,Business Class,5,5,1,5,5,10,yes
C Lane,11/8/2022,Singapore Airlines,TRUE,Family Leisure,22-Aug,Sydney to London via Singapore,Economy Class,4,3,3,4,1,1,no
J Pardeven,11/5/2022,Singapore Airlines,FALSE,Couple Leisure,22-Nov,Bali to Singaporw,Economy Class,4,2,5,5,2,2,no
Ken Howie,11/2/2022,Singapore Airlines,TRUE,Couple Leisure,22-Oct,Johannesburg to Singapore,Business Class,5,5,3,5,4,9,yes
Steven Whyte,10/31/2022,Singapore Airlines,TRUE,Couple Leisure,22-Oct,Cape Town to Manila via Singapore,Economy Class,2,1,1,5,2,3,no
V Huang,10/26/2022,Singapore Airlines,TRUE,Solo Leisure,22-Oct,London to Brisbane via Singapore,Economy Class,2,2,5,5,5,7,yes
Douglas Wilson,10/25/2022,Singapore Airlines,TRUE,Family Leisure,22-Aug,London to Singapore,Economy Class,5,5,2,2,1,1,no
Rory Moore,10/20/2022,Singapore Airlines,TRUE,Couple Leisure,22-Sep,Sydney to Amsterdam via Singapore,Business Class,5,5,1,4,4,10,yes
George S Vrontos,10/12/2022,Singapore Airlines,TRUE,Couple Leisure,22-Sep,Istanbul to Melbourne via Singapore,Economy Class,1,4,1,3,4,10,yes
Suzanne Crown,10/5/2022,Singapore Airlines,FALSE,Couple Leisure,22-Sep,Amsterdam to Brisbane via Singapore,Economy Class,2,4,5,5,1,3,no
Muriel Kelly Redding,9/26/2022,Singapore Airlines,TRUE,Solo Leisure,22-Sep,London to Singapore,Economy Class,5,1,5,4,1,1,no
L Tran,9/25/2022,Singapore Airlines,TRUE,Solo Leisure,22-Sep,New York JFK to Frankfurt,Business Class,3,5,1,4,5,10,yes
T Carlno,9/19/2022,Singapore Airlines,TRUE,Solo Leisure,22-Sep,New York to Frankfurt,Economy Class,1,4,5,5,4,4,yes
T Atkins,9/11/2022,Singapore Airlines,TRUE,Solo Leisure,22-Sep,Singapore to Sydney,Premium Economy,1,4,4,5,2,4,no
C Harken,9/10/2022,Singapore Airlines,FALSE,Solo Leisure,22-Aug,Auckland to London via Singapore,Economy Class,4,1,3,1,2,6,no
Lena Barnard,9/8/2022,Singapore Airlines,TRUE,Family Leisure,22-Sep,Sydney to to Singapore,Business Class,3,1,4,3,5,10,yes
T Roberts,9/8/2022,Singapore Airlines,FALSE,Couple Leisure,22-Jul,Rome to Melbourne,Economy Class,4,1,5,4,1,2,no
S Delon,9/6/2022,Singapore Airlines,TRUE,Couple Leisure,22-Sep,Los Angeles to Singapore,Economy Class,1,5,5,4,1,2,no
C Payne,9/5/2022,Singapore Airlines,TRUE,Family Leisure,22-Aug,Brisbane to Cape Town via Singapore,Premium Economy,3,5,4,2,1,1,no
Michael Cotter,9/5/2022,Singapore Airlines,TRUE,Couple Leisure,22-Sep,Adelaide to Singapore,Economy Class,1,1,4,1,5,10,yes
E Darlon,9/4/2022,Singapore Airlines,TRUE,Couple Leisure,22-Sep,San Francisco to Singapore,Premium Economy,5,5,1,5,2,5,no
K Valten,9/4/2022,Singapore Airlines,TRUE,Business,22-Sep,Sydney to Singapore,Business Class,5,5,3,5,2,2,no
